Year,BBLT,TL,MafSul,SLGC,Kambala,SNDola,Nemba,Fields,Rank
2019,40351,14599,65075,21496,0,0,30310,BBLT,2
2020,45028,10476,55030,20437,0,0,27016,TL,3
2021,55959,7968,46941,18970,0,0,24307,MafSul,4
2022,47289,10490,39670,17740,8589,0,22447,SLGC,7
2023,33146,16064,34258,17553,7665,5724,19995,Kambala,6
2024,23284,12029,29618,17473,6006,21438,17962,SNDola,1
2025,8406,3158,25996,16616,4867,23632,15912,Nemba,5
2026,7002,2642,23494,15696,4088,16671,13808,,
2027,5875,2356,21599,15441,3506,13030,12060,,
2028,4819,2042,19933,14336,3050,10066,10421,,
2029,4050,1779,18438,12784,2680,7620,9184,,
2030,3427,1619,17217,11455,2363,5700,8389,,
2031,3000,1481,16227,10195,2106,4168,7288,,
2032,3637,1395,15350,8404,1897,3316,6369,,
2033,3061,1253,14501,7334,1717,2667,5389,,
2034,2641,1158,13742,7134,1561,2090,4682,,
2035,1889,1075,12987,6973,1418,1818,4025,,
2036,1428,1000,11994,6249,1290,1609,3470,,
2037,1032,932,11224,5641,1175,1389,2921,,
2038,1051,810,10895,5074,1097,1111,2353,,
2039,825,678,10504,4553,950,960,2142,,
2040,507,639,10198,4016,819,590,1880,,
2041,330,603,9808,3699,768,549,1718,,
2042,309,570,9478,3400,691,481,1616,,
2043,290,540,0,3132,649,372,1414,,
2044,273,512,0,2893,563,0,1301,,
2045,257,486,0,2677,573,0,1184,,
2046,243,462,0,2477,512,0,1101,,
2047,229,440,0,2307,478,0,1003,,
2048,217,419,0,2158,469,0,923,,
2049,0,0,0,2027,425,0,822,,
2050,0,0,0,1904,382,0,712,,
